Consumption prognosis in MWh,,,,,,,,,
Data was last updated 01-01-2020,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
1/1/2019,00 - 01,15780,14500,10002,1857,1359,873,707,1147
1/1/2019,01 - 02,15800,14163,9670,1819,1321,859,678,1168
1/1/2019,02 - 03,15854,13951,9495,1755,1296,850,644,1216
1/1/2019,03 - 04,15934,13713,9506,1709,1242,857,623,1051
1/1/2019,04 - 05,15942,13602,9565,1685,1211,873,617,1045
1/1/2019,05 - 06,16078,13766,9757,1706,1208,929,608,1071
1/1/2019,06 - 07,16394,14105,9775,1726,1233,1012,630,1104
1/1/2019,07 - 08,16761,14439,9974,1777,1245,1079,637,1128
1/1/2019,08 - 09,17234,14740,9989,1901,1285,1119,630,1160
1/1/2019,09 - 10,17828,15006,10001,1979,1365,1145,660,1233
1/1/2019,10 - 11,18291,15478,10191,2062,1486,1152,703,1289
1/1/2019,11 - 12,18436,15807,10247,2132,1569,1141,729,1313
1/1/2019,12 - 13,18420,15959,10257,2143,1620,1137,745,1314
1/1/2019,13 - 14,18483,16098,10353,2133,1633,1145,761,1321
1/1/2019,14 - 15,18546,16384,10657,2201,1643,1177,771,1341
1/1/2019,15 - 16,18710,17012,10850,2197,1655,1233,823,1421
1/1/2019,16 - 17,18953,17605,10858,2341,1740,1229,841,1480
1/1/2019,17 - 18,18915,17760,10948,2576,1889,1198,831,1473
1/1/2019,18 - 19,18730,17588,10928,2469,1839,1148,818,1457
1/1/2019,19 - 20,18561,17286,10765,2367,1737,1096,806,1422
1/1/2019,20 - 21,18374,16888,10441,2267,1622,1045,787,1349
1/1/2019,21 - 22,18095,16401,10673,2179,1527,988,729,1268
1/1/2019,22 - 23,17618,15929,10486,2036,1431,928,665,1176
1/1/2019,23 - 00,17024,15374,10317,1931,1360,908,706,1332
2/1/2019,00 - 01,16297,15850,9897,1788,1284,887,607,1071
2/1/2019,01 - 02,15956,15678,9722,1716,1228,855,588,1034
2/1/2019,02 - 03,15813,15669,9666,1714,1206,843,583,1016
2/1/2019,03 - 04,15833,15726,9715,1713,1238,841,585,1031
2/1/2019,04 - 05,15948,16092,9992,1806,1278,848,619,1105
2/1/2019,05 - 06,16378,16834,10753,1907,1361,857,706,1320
2/1/2019,06 - 07,17648,18176,11176,2272,1554,880,818,1498
2/1/2019,07 - 08,18544,19771,11506,2641,1769,910,916,1634
2/1/2019,08 - 09,18787,20455,11546,2710,1896,923,961,1686
2/1/2019,09 - 10,18887,20607,11471,2798,1939,956,998,1721
2/1/2019,10 - 11,19029,20918,11550,2827,1969,983,995,1743
2/1/2019,11 - 12,18979,20919,11645,2803,1944,998,977,1743
2/1/2019,12 - 13,19066,20828,11646,2722,1946,1004,997,1750
2/1/2019,13 - 14,19024,20756,11764,2639,1955,1015,998,1737
2/1/2019,14 - 15,19247,20913,11996,2633,1939,1049,1009,1725
2/1/2019,15 - 16,19541,21416,12197,2584,1930,1093,1073,1770
2/1/2019,16 - 17,19717,21823,12236,2763,2055,1097,1072,1807
2/1/2019,17 - 18,19531,21964,12194,3004,2163,1090,1046,1767
2/1/2019,18 - 19,19232,21632,12217,2911,2094,1068,1015,1717
2/1/2019,19 - 20,19064,21150,12120,2712,1968,1041,980,1657
2/1/2019,20 - 21,18895,20480,11661,2486,1844,1008,924,1557
2/1/2019,21 - 22,18531,19757,11799,2333,1726,967,847,1379
2/1/2019,22 - 23,18163,18908,11587,2178,1594,916,772,1248
2/1/2019,23 - 00,17570,18066,10902,2051,1479,875,685,1195
3/1/2019,00 - 01,17762,17130,10782,1958,1355,856,661,1099
3/1/2019,01 - 02,17269,16869,10633,1908,1280,841,644,1068
3/1/2019,02 - 03,17095,16783,10595,1903,1281,833,634,1061
3/1/2019,03 - 04,17054,16803,10682,1925,1299,842,642,1077
3/1/2019,04 - 05,17103,17154,10990,2013,1332,879,684,1153
3/1/2019,05 - 06,17487,17920,11818,2139,1413,975,791,1363
3/1/2019,06 - 07,18719,19329,12297,2452,1620,1107,915,1592
3/1/2019,07 - 08,20100,21001,12643,2864,1886,1232,1022,1720
3/1/2019,08 - 09,20715,21679,12678,3036,1997,1266,1054,1740
3/1/2019,09 - 10,20862,21818,12608,2999,2014,1290,1065,1751
3/1/2019,10 - 11,20699,22184,12654,3005,1999,1298,1060,1751
3/1/2019,11 - 12,20479,22144,12783,2979,1981,1295,1048,1725
3/1/2019,12 - 13,20279,21984,12772,2912,1974,1305,1075,1745
3/1/2019,13 - 14,20178,21833,12870,2890,1961,1305,1073,1731
3/1/2019,14 - 15,20284,21958,13056,2867,1935,1324,1076,1733
3/1/2019,15 - 16,20513,22478,13207,2805,1914,1357,1117,1777
3/1/2019,16 - 17,20663,22733,13181,2935,2043,1340,1110,1784
3/1/2019,17 - 18,20520,22816,13116,3158,2215,1316,1081,1748
3/1/2019,18 - 19,20176,22379,13129,3064,2141,1286,1041,1701
3/1/2019,19 - 20,19960,21789,12993,2856,2014,1245,996,1637
3/1/2019,20 - 21,19518,20992,12462,2655,1902,1188,940,1543
3/1/2019,21 - 22,19179,20115,12544,2470,1796,1117,861,1416
3/1/2019,22 - 23,18568,19138,12321,2295,1664,1038,783,1294
3/1/2019,23 - 00,17870,18120,11615,2122,1497,988,701,1216
4/1/2019,00 - 01,16947,16525,11175,1972,1371,911,678,1156
4/1/2019,01 - 02,16649,16200,10921,1929,1291,880,663,1129
4/1/2019,02 - 03,16479,16058,10780,1896,1257,869,656,1123
4/1/2019,03 - 04,16524,16029,10805,1905,1279,874,668,1139
4/1/2019,04 - 05,16618,16248,11076,1980,1317,915,704,1202
4/1/2019,05 - 06,17103,16891,11780,2140,1410,1008,828,1414
4/1/2019,06 - 07,18125,18118,12141,2533,1624,1139,961,1581
4/1/2019,07 - 08,19172,19549,12386,2884,1871,1251,1055,1711
4/1/2019,08 - 09,19795,20132,12318,3007,1978,1285,1084,1744
4/1/2019,09 - 10,20050,20170,12195,2974,2005,1293,1091,1746
4/1/2019,10 - 11,20127,20503,12218,3034,2012,1286,1089,1742
4/1/2019,11 - 12,20024,20528,12248,3009,1976,1274,1063,1725
4/1/2019,12 - 13,19782,20603,12192,2859,1937,1296,1077,1736
4/1/2019,13 - 14,19533,20545,12233,2774,1929,1292,1078,1721
4/1/2019,14 - 15,19490,20594,12379,2757,1892,1307,1084,1711
4/1/2019,15 - 16,19454,20912,12536,2673,1886,1336,1132,1746
4/1/2019,16 - 17,19373,21031,12520,2821,2023,1321,1124,1761
4/1/2019,17 - 18,19267,21015,12412,3006,2155,1302,1093,1724
4/1/2019,18 - 19,19083,20584,12388,2876,2081,1270,1036,1689
4/1/2019,19 - 20,18715,20041,12211,2625,1953,1232,1000,1640
4/1/2019,20 - 21,18167,19354,11712,2447,1811,1182,943,1546
4/1/2019,21 - 22,17710,18578,11784,2290,1671,1114,864,1412
4/1/2019,22 - 23,17208,17718,11559,2145,1537,1031,792,1305
4/1/2019,23 - 00,16689,16873,10971,2015,1422,969,731,1239
5/1/2019,00 - 01,15691,15854,10632,1912,1325,887,664,1187
5/1/2019,01 - 02,15378,15550,10431,1792,1242,862,650,1152
5/1/2019,02 - 03,15229,15360,10346,1749,1210,850,637,1135
5/1/2019,03 - 04,15311,15300,10361,1773,1202,851,639,1133
5/1/2019,04 - 05,15397,15384,10484,1830,1216,865,660,1150
5/1/2019,05 - 06,15590,15563,10753,1870,1242,901,704,1221
5/1/2019,06 - 07,16013,16050,10908,1944,1303,953,770,1310
5/1/2019,07 - 08,16555,16733,11276,2094,1405,1016,832,1389
5/1/2019,08 - 09,17230,17452,11394,2275,1528,1071,871,1476
5/1/2019,09 - 10,17806,18057,11481,2363,1646,1114,919,1564
5/1/2019,10 - 11,18220,18545,11536,2396,1732,1126,941,1581
5/1/2019,11 - 12,18249,18717,11534,2336,1730,1125,943,1594
5/1/2019,12 - 13,18283,18660,11558,2251,1732,1115,947,1598
5/1/2019,13 - 14,18054,18591,11596,2251,1712,1114,947,1567
5/1/2019,14 - 15,17998,18557,11851,2229,1677,1139,952,1571
5/1/2019,15 - 16,18203,18953,12209,2257,1698,1198,1006,1638
5/1/2019,16 - 17,18341,19517,12400,2450,1815,1200,1023,1701
5/1/2019,17 - 18,18266,19662,12440,2711,1957,1180,1008,1666
5/1/2019,18 - 19,18042,19392,12345,2643,1942,1157,977,1619
5/1/2019,19 - 20,17586,18908,12063,2428,1825,1126,954,1557
5/1/2019,20 - 21,17147,18330,11668,2293,1706,1084,914,1484
5/1/2019,21 - 22,16691,17742,11827,2185,1604,1022,844,1370
5/1/2019,22 - 23,16301,17174,11694,2020,1506,954,777,1261
5/1/2019,23 - 00,15965,16538,11436,1902,1411,899,711,1167
6/1/2019,00 - 01,16191,16150,11053,1767,1376,875,689,1161
6/1/2019,01 - 02,15857,15824,10846,1717,1285,857,672,1130
6/1/2019,02 - 03,15664,15620,10755,1723,1225,848,666,1118
6/1/2019,03 - 04,15659,15577,10692,1718,1202,850,666,1114
6/1/2019,04 - 05,15707,15689,10770,1739,1207,861,678,1131
6/1/2019,05 - 06,15843,15876,10936,1772,1232,892,715,1199
6/1/2019,06 - 07,15983,16473,10972,1862,1346,945,773,1269
6/1/2019,07 - 08,16344,17140,11230,1979,1467,1001,824,1325
6/1/2019,08 - 09,16755,17719,11246,2138,1579,1046,871,1411
6/1/2019,09 - 10,17088,18077,11359,2228,1691,1083,917,1506
6/1/2019,10 - 11,17533,18457,11573,2354,1761,1097,936,1547
6/1/2019,11 - 12,17666,18706,11601,2355,1786,1101,931,1565
6/1/2019,12 - 13,17525,18804,11490,2310,1759,1099,927,1558
6/1/2019,13 - 14,17451,18765,11486,2309,1731,1105,930,1546
6/1/2019,14 - 15,17483,18744,11659,2319,1737,1146,938,1532
6/1/2019,15 - 16,17836,19165,11956,2348,1777,1205,1003,1591
6/1/2019,16 - 17,18206,19590,11911,2531,1915,1218,1051,1722
6/1/2019,17 - 18,18187,19605,11953,2768,2083,1194,1033,1716
6/1/2019,18 - 19,18015,19246,11918,2702,2053,1162,1027,1700
6/1/2019,19 - 20,17829,18805,11695,2522,1934,1122,1000,1654
6/1/2019,20 - 21,17561,18214,11309,2305,1798,1076,951,1562
6/1/2019,21 - 22,17256,17501,11394,2165,1682,1012,868,1410
6/1/2019,22 - 23,16952,16756,11188,2072,1571,951,784,1282
6/1/2019,23 - 00,16418,16038,10561,1964,1481,900,735,1221
7/1/2019,00 - 01,16021,15578,10216,1822,1326,941,678,1168
7/1/2019,01 - 02,15786,15366,10019,1779,1269,929,661,1133
7/1/2019,02 - 03,15712,15322,9975,1799,1244,923,656,1132
7/1/2019,03 - 04,15661,15403,10010,1818,1267,928,664,1143
7/1/2019,04 - 05,15791,15673,10377,1868,1305,966,709,1212
7/1/2019,05 - 06,16210,16461,11209,2014,1367,1074,839,1464
7/1/2019,06 - 07,17189,18387,11649,2388,1579,1205,1006,1689
7/1/2019,07 - 08,18295,20075,11878,2874,1860,1308,1116,1814
7/1/2019,08 - 09,18852,20398,11767,3017,1980,1334,1149,1860
7/1/2019,09 - 10,19136,20282,11633,2998,1999,1350,1155,1856
7/1/2019,10 - 11,19238,20369,11578,3036,1973,1344,1137,1845
7/1/2019,11 - 12,19392,20348,11555,2969,1909,1330,1094,1817
7/1/2019,12 - 13,19191,20276,11517,2889,1910,1337,1121,1827
7/1/2019,13 - 14,19194,20243,11513,2922,1950,1320,1106,1815
7/1/2019,14 - 15,19352,20269,11604,2892,1952,1330,1119,1814
7/1/2019,15 - 16,19566,20601,11760,2872,1958,1347,1157,1857
7/1/2019,16 - 17,19794,20781,11835,2972,2074,1338,1178,1911
7/1/2019,17 - 18,19500,20873,11796,3129,2213,1308,1155,1891
7/1/2019,18 - 19,19069,20493,11809,3018,2136,1274,1110,1844
7/1/2019,19 - 20,18704,20015,11686,2828,2000,1229,1066,1780
7/1/2019,20 - 21,18305,19346,11267,2608,1851,1183,992,1686
7/1/2019,21 - 22,17896,18579,11299,2455,1726,1104,908,1481
7/1/2019,22 - 23,17419,17523,11085,2331,1581,1035,811,1324
7/1/2019,23 - 00,16903,16596,10701,2178,1457,970,741,1265
8/1/2019,00 - 01,17040,16019,10307,2062,1348,934,713,1232
8/1/2019,01 - 02,16771,15735,10137,2031,1292,914,688,1204
8/1/2019,02 - 03,16539,15608,10104,1937,1275,911,677,1195
8/1/2019,03 - 04,16531,15641,10175,1943,1283,918,688,1210
8/1/2019,04 - 05,16548,15884,10504,2016,1309,960,738,1283
8/1/2019,05 - 06,16854,16648,11293,2142,1412,1092,873,1529
8/1/2019,06 - 07,17719,18480,11634,2509,1639,1243,1037,1756
8/1/2019,07 - 08,18650,20157,11837,2876,1911,1349,1141,1832
8/1/2019,08 - 09,19044,20502,11727,3028,2015,1365,1178,1871
8/1/2019,09 - 10,19150,20391,11645,3004,2029,1370,1174,1879
8/1/2019,10 - 11,19340,20502,11638,3022,2036,1360,1161,1862
8/1/2019,11 - 12,19495,20483,11664,2989,2021,1340,1130,1829
8/1/2019,12 - 13,19534,20488,11616,2916,2019,1355,1155,1857
8/1/2019,13 - 14,19640,20436,11604,2955,2026,1342,1149,1848
