Wind power DK prognosis in MWh,,,
Data was last updated 31-12-2019,,,
,Hours,DK1,DK2
1/1/2019,00 - 01,3510,978
1/1/2019,01 - 02,3535,1017
1/1/2019,02 - 03,3421,1015
1/1/2019,03 - 04,3213,991
1/1/2019,04 - 05,3222,984
1/1/2019,05 - 06,3306,1032
1/1/2019,06 - 07,3290,1057
1/1/2019,07 - 08,3157,1049
1/1/2019,08 - 09,2953,1012
1/1/2019,09 - 10,2848,990
1/1/2019,10 - 11,2937,1025
1/1/2019,11 - 12,2957,998
1/1/2019,12 - 13,2939,994
1/1/2019,13 - 14,2909,969
1/1/2019,14 - 15,2930,943
1/1/2019,15 - 16,2985,963
1/1/2019,16 - 17,3069,980
1/1/2019,17 - 18,3199,1005
1/1/2019,18 - 19,3318,1040
1/1/2019,19 - 20,3502,1077
1/1/2019,20 - 21,3496,1067
1/1/2019,21 - 22,3370,1032
1/1/2019,22 - 23,3370,1024
1/1/2019,23 - 00,3429,1040
2/1/2019,00 - 01,2833,1005
2/1/2019,01 - 02,2876,1014
2/1/2019,02 - 03,2795,981
2/1/2019,03 - 04,2661,936
2/1/2019,04 - 05,3158,976
2/1/2019,05 - 06,3301,1016
2/1/2019,06 - 07,3288,1045
2/1/2019,07 - 08,3159,1039
2/1/2019,08 - 09,2862,988
2/1/2019,09 - 10,2530,945
2/1/2019,10 - 11,2402,976
2/1/2019,11 - 12,2252,997
2/1/2019,12 - 13,2096,1010
2/1/2019,13 - 14,1858,976
2/1/2019,14 - 15,1575,942
2/1/2019,15 - 16,1339,907
2/1/2019,16 - 17,1185,849
2/1/2019,17 - 18,1083,747
2/1/2019,18 - 19,1006,625
2/1/2019,19 - 20,953,539
2/1/2019,20 - 21,886,472
2/1/2019,21 - 22,784,423
2/1/2019,22 - 23,845,422
2/1/2019,23 - 00,854,420
3/1/2019,00 - 01,759,389
3/1/2019,01 - 02,722,414
3/1/2019,02 - 03,740,415
3/1/2019,03 - 04,739,432
3/1/2019,04 - 05,763,428
3/1/2019,05 - 06,794,414
3/1/2019,06 - 07,853,447
3/1/2019,07 - 08,884,478
3/1/2019,08 - 09,861,461
3/1/2019,09 - 10,844,430
3/1/2019,10 - 11,723,381
3/1/2019,11 - 12,601,316
3/1/2019,12 - 13,528,278
3/1/2019,13 - 14,442,241
3/1/2019,14 - 15,385,174
3/1/2019,15 - 16,383,108
3/1/2019,16 - 17,479,78
3/1/2019,17 - 18,663,57
3/1/2019,18 - 19,875,53
3/1/2019,19 - 20,1102,89
3/1/2019,20 - 21,1328,147
3/1/2019,21 - 22,1494,200
3/1/2019,22 - 23,1740,208
3/1/2019,23 - 00,1984,244
4/1/2019,00 - 01,2091,331
4/1/2019,01 - 02,2349,393
4/1/2019,02 - 03,2450,496
4/1/2019,03 - 04,2435,580
4/1/2019,04 - 05,2409,610
4/1/2019,05 - 06,2410,633
4/1/2019,06 - 07,2367,687
4/1/2019,07 - 08,2288,699
4/1/2019,08 - 09,2274,654
4/1/2019,09 - 10,2264,630
4/1/2019,10 - 11,2368,604
4/1/2019,11 - 12,2407,554
4/1/2019,12 - 13,2552,528
4/1/2019,13 - 14,2626,499
4/1/2019,14 - 15,2787,465
4/1/2019,15 - 16,2903,485
4/1/2019,16 - 17,2994,542
4/1/2019,17 - 18,3010,593
4/1/2019,18 - 19,2965,667
4/1/2019,19 - 20,3016,707
4/1/2019,20 - 21,2944,674
4/1/2019,21 - 22,2819,631
4/1/2019,22 - 23,2824,644
4/1/2019,23 - 00,2841,645
5/1/2019,00 - 01,2774,563
5/1/2019,01 - 02,2690,569
5/1/2019,02 - 03,2495,545
5/1/2019,03 - 04,2230,515
5/1/2019,04 - 05,2145,470
5/1/2019,05 - 06,2105,454
5/1/2019,06 - 07,1962,499
5/1/2019,07 - 08,1707,523
5/1/2019,08 - 09,1409,505
5/1/2019,09 - 10,1169,462
5/1/2019,10 - 11,961,334
5/1/2019,11 - 12,735,270
5/1/2019,12 - 13,617,289
5/1/2019,13 - 14,546,307
5/1/2019,14 - 15,459,220
5/1/2019,15 - 16,391,155
5/1/2019,16 - 17,311,118
5/1/2019,17 - 18,269,81
5/1/2019,18 - 19,247,64
5/1/2019,19 - 20,253,60
5/1/2019,20 - 21,278,53
5/1/2019,21 - 22,303,41
