Consumption prognosis in MWh,,,,,,,,,
Data was last updated 10-02-2020,,,,,,,,,
,Hours,NO,SE,FI,DK1,DK2,EE,LV,LT
1/1/2020,00 - 01,15663,15056,9644,1868,1346,840,690,1059
1/1/2020,01 - 02,15435,14817,9352,1833,1299,818,663,1019
1/1/2020,02 - 03,15235,14593,9141,1742,1246,804,637,990
1/1/2020,03 - 04,15146,14407,9119,1723,1234,808,619,985
1/1/2020,04 - 05,15156,14368,9164,1730,1202,830,626,981
1/1/2020,05 - 06,15276,14455,9285,1746,1194,880,622,1011
1/1/2020,06 - 07,15497,14608,9306,1810,1216,956,625,1038
1/1/2020,07 - 08,15791,14872,9460,1911,1230,1032,632,1060
1/1/2020,08 - 09,16225,15083,9476,1968,1273,1060,647,1078
1/1/2020,09 - 10,16738,15306,9507,2052,1346,1089,686,1136
1/1/2020,10 - 11,17228,15634,9614,2162,1441,1100,730,1199
1/1/2020,11 - 12,17370,15906,9654,2248,1503,1090,757,1238
1/1/2020,12 - 13,17301,16048,9630,2261,1537,1093,767,1243
1/1/2020,13 - 14,17320,16111,9637,2217,1539,1096,778,1239
1/1/2020,14 - 15,17378,16391,9838,2197,1540,1129,790,1241
1/1/2020,15 - 16,17577,16881,10040,2186,1579,1183,845,1310
1/1/2020,16 - 17,17873,17368,10099,2393,1699,1186,855,1367
1/1/2020,17 - 18,17877,17473,10152,2582,1812,1150,851,1363
1/1/2020,18 - 19,17704,17286,10136,2544,1790,1092,841,1342
1/1/2020,19 - 20,17596,16938,10008,2358,1682,1021,829,1312
1/1/2020,20 - 21,17427,16507,9717,2223,1579,974,803,1258
1/1/2020,21 - 22,17159,16007,9939,2110,1486,932,744,1170
1/1/2020,22 - 23,16755,15506,9825,1992,1404,881,694,1067
1/1/2020,23 - 00,16228,14995,9740,1887,1322,912,651,1043
2/1/2020,00 - 01,15398,15080,9495,1789,1243,870,605,971
2/1/2020,01 - 02,15106,14855,9354,1743,1186,858,587,945
2/1/2020,02 - 03,14970,14736,9301,1748,1156,845,582,941
2/1/2020,03 - 04,14933,14762,9353,1779,1173,840,588,964
2/1/2020,04 - 05,15066,14914,9589,1861,1215,837,622,1024
2/1/2020,05 - 06,15517,15476,10124,1915,1282,840,714,1215
2/1/2020,06 - 07,16746,16710,10422,2165,1447,867,833,1383
2/1/2020,07 - 08,17654,17948,10622,2555,1655,899,927,1491
2/1/2020,08 - 09,18061,18561,10622,2773,1773,919,973,1544
2/1/2020,09 - 10,18142,18631,10573,2833,1829,942,1004,1579
2/1/2020,10 - 11,18203,18820,10572,2916,1869,961,1018,1611
2/1/2020,11 - 12,18185,18749,10567,2939,1878,970,1004,1609
2/1/2020,12 - 13,18117,18642,10516,2905,1880,968,1013,1623
2/1/2020,13 - 14,18131,18568,10547,2883,1871,980,1017,1611
2/1/2020,14 - 15,18211,18656,10642,2894,1870,1018,1028,1605
2/1/2020,15 - 16,18469,19041,10770,2879,1883,1077,1070,1666
2/1/2020,16 - 17,18605,19392,10751,3015,1997,1084,1057,1686
2/1/2020,17 - 18,18492,19421,10709,3165,2104,1083,1039,1670
2/1/2020,18 - 19,18233,19085,10697,3052,2028,1075,1018,1638
2/1/2020,19 - 20,17967,18628,10546,2896,1890,1058,985,1576
2/1/2020,20 - 21,17727,18112,10181,2742,1749,1033,938,1498
2/1/2020,21 - 22,17422,17437,10250,2597,1619,982,856,1375
2/1/2020,22 - 23,16955,16701,10094,2413,1498,920,780,1237
2/1/2020,23 - 00,16329,15976,9660,2264,1395,876,702,1158
3/1/2020,00 - 01,15620,15145,9407,2119,1289,972,655,1019
3/1/2020,01 - 02,15346,14856,9294,2019,1230,959,647,993
3/1/2020,02 - 03,15193,14710,9250,2028,1218,950,650,982
3/1/2020,03 - 04,15217,14692,9288,2042,1239,952,665,991
3/1/2020,04 - 05,15389,14828,9508,2080,1260,985,693,1053
3/1/2020,05 - 06,15809,15439,10017,2200,1322,1083,780,1245
3/1/2020,06 - 07,16884,16830,10295,2416,1497,1203,894,1409
3/1/2020,07 - 08,18151,18340,10486,2731,1715,1315,1011,1538
3/1/2020,08 - 09,18688,18981,10475,2910,1808,1342,1058,1589
3/1/2020,09 - 10,18835,19013,10429,2905,1840,1374,1078,1622
3/1/2020,10 - 11,18888,19260,10431,2922,1853,1379,1070,1639
3/1/2020,11 - 12,18767,19208,10444,2928,1838,1373,1059,1630
3/1/2020,12 - 13,18732,19160,10400,2814,1813,1374,1066,1630
3/1/2020,13 - 14,18731,19136,10443,2771,1834,1372,1054,1609
3/1/2020,14 - 15,18860,19242,10542,2688,1797,1407,1070,1603
3/1/2020,15 - 16,19098,19707,10671,2688,1811,1422,1094,1651
