Wind power DK prognosis in MWh,,,
Data was last updated 09-02-2020,,,
,Hours,DK1,DK2
1/1/2020,00 - 01,1256,346
1/1/2020,01 - 02,1510,386
1/1/2020,02 - 03,1737,371
1/1/2020,03 - 04,1886,355
1/1/2020,04 - 05,2010,349
1/1/2020,05 - 06,2215,390
1/1/2020,06 - 07,2262,409
1/1/2020,07 - 08,2278,424
1/1/2020,08 - 09,2316,444
1/1/2020,09 - 10,2481,458
1/1/2020,10 - 11,2590,464
1/1/2020,11 - 12,2705,487
1/1/2020,12 - 13,2856,514
1/1/2020,13 - 14,2879,541
1/1/2020,14 - 15,2820,570
1/1/2020,15 - 16,2745,555
1/1/2020,16 - 17,2655,499
1/1/2020,17 - 18,2621,452
1/1/2020,18 - 19,2534,423
1/1/2020,19 - 20,2481,382
1/1/2020,20 - 21,2513,341
1/1/2020,21 - 22,2550,339
1/1/2020,22 - 23,2563,345
1/1/2020,23 - 00,2585,353
2/1/2020,00 - 01,2543,310
2/1/2020,01 - 02,2552,304
2/1/2020,02 - 03,2542,309
2/1/2020,03 - 04,2523,323
2/1/2020,04 - 05,2531,337
2/1/2020,05 - 06,2755,372
2/1/2020,06 - 07,2835,399
2/1/2020,07 - 08,2983,442
2/1/2020,08 - 09,3080,483
2/1/2020,09 - 10,3199,518
2/1/2020,10 - 11,3209,496
2/1/2020,11 - 12,3237,501
2/1/2020,12 - 13,3282,505
2/1/2020,13 - 14,3275,490
2/1/2020,14 - 15,3271,486
2/1/2020,15 - 16,3396,508
2/1/2020,16 - 17,3468,524
2/1/2020,17 - 18,3552,576
2/1/2020,18 - 19,3554,628
2/1/2020,19 - 20,3526,657
2/1/2020,20 - 21,3549,680
2/1/2020,21 - 22,3632,737
2/1/2020,22 - 23,3708,800
2/1/2020,23 - 00,3786,858
3/1/2020,00 - 01,3816,842
3/1/2020,01 - 02,3797,873
3/1/2020,02 - 03,3825,873
3/1/2020,03 - 04,3792,859
3/1/2020,04 - 05,3720,874
3/1/2020,05 - 06,3800,910
3/1/2020,06 - 07,3726,936
3/1/2020,07 - 08,3679,955
3/1/2020,08 - 09,3384,935
3/1/2020,09 - 10,2945,924
3/1/2020,10 - 11,2504,867
3/1/2020,11 - 12,2283,814
3/1/2020,12 - 13,2351,743
3/1/2020,13 - 14,2352,644
3/1/2020,14 - 15,2323,525
3/1/2020,15 - 16,2426,438
3/1/2020,16 - 17,2676,383
3/1/2020,17 - 18,2913,398
3/1/2020,18 - 19,3009,456
3/1/2020,19 - 20,3157,494
3/1/2020,20 - 21,3330,575
3/1/2020,21 - 22,3484,671
3/1/2020,22 - 23,3580,770
3/1/2020,23 - 00,3672,849
4/1/2020,00 - 01,3650,858
4/1/2020,01 - 02,3648,903
4/1/2020,02 - 03,3743,939
4/1/2020,03 - 04,3732,949
4/1/2020,04 - 05,3674,947
4/1/2020,05 - 06,3794,989
4/1/2020,06 - 07,3743,1009
4/1/2020,07 - 08,3825,1020
4/1/2020,08 - 09,3807,993
4/1/2020,09 - 10,3833,979
4/1/2020,10 - 11,3755,950
4/1/2020,11 - 12,3723,959
4/1/2020,12 - 13,3757,976
4/1/2020,13 - 14,3714,969
4/1/2020,14 - 15,3659,968
4/1/2020,15 - 16,3622,975
4/1/2020,16 - 17,3440,959
4/1/2020,17 - 18,3186,928
4/1/2020,18 - 19,2773,867
4/1/2020,19 - 20,2367,781
4/1/2020,20 - 21,1935,685
4/1/2020,21 - 22,1619,566
4/1/2020,22 - 23,1231,440
4/1/2020,23 - 00,875,332
5/1/2020,00 - 01,923,294
5/1/2020,01 - 02,577,215
5/1/2020,02 - 03,374,174
5/1/2020,03 - 04,331,153
5/1/2020,04 - 05,404,150
5/1/2020,05 - 06,582,157
5/1/2020,06 - 07,780,160
5/1/2020,07 - 08,1077,158
5/1/2020,08 - 09,1433,156
5/1/2020,09 - 10,1789,162
5/1/2020,10 - 11,2086,179
5/1/2020,11 - 12,2349,217
5/1/2020,12 - 13,2562,267
5/1/2020,13 - 14,2687,335
5/1/2020,14 - 15,2756,419
5/1/2020,15 - 16,2858,478
5/1/2020,16 - 17,2916,510
5/1/2020,17 - 18,2960,559
5/1/2020,18 - 19,2904,602
5/1/2020,19 - 20,2866,628
5/1/2020,20 - 21,2815,654
5/1/2020,21 - 22,2828,664
5/1/2020,22 - 23,2874,668
5/1/2020,23 - 00,2866,669
6/1/2020,00 - 01,2456,630
6/1/2020,01 - 02,2337,586
6/1/2020,02 - 03,2216,553
6/1/2020,03 - 04,2049,551
6/1/2020,04 - 05,1927,565
6/1/2020,05 - 06,1933,591
6/1/2020,06 - 07,1864,603
6/1/2020,07 - 08,1911,595
6/1/2020,08 - 09,1975,564
6/1/2020,09 - 10,2069,540
6/1/2020,10 - 11,2102,505
6/1/2020,11 - 12,2140,488
6/1/2020,12 - 13,2320,457
6/1/2020,13 - 14,2410,421
6/1/2020,14 - 15,2467,388
6/1/2020,15 - 16,2543,354
6/1/2020,16 - 17,2568,340
6/1/2020,17 - 18,2795,369
6/1/2020,18 - 19,2901,409
6/1/2020,19 - 20,2923,441
6/1/2020,20 - 21,2920,440
6/1/2020,21 - 22,2898,409
6/1/2020,22 - 23,2822,382
6/1/2020,23 - 00,2665,378
7/1/2020,00 - 01,2162,386
7/1/2020,01 - 02,2020,411
7/1/2020,02 - 03,1859,387
7/1/2020,03 - 04,1650,314
7/1/2020,04 - 05,1530,237
7/1/2020,05 - 06,1499,212
7/1/2020,06 - 07,1436,213
7/1/2020,07 - 08,1442,223
7/1/2020,08 - 09,1405,239
7/1/2020,09 - 10,1285,255
7/1/2020,10 - 11,1094,238
7/1/2020,11 - 12,1037,231
7/1/2020,12 - 13,1159,234
7/1/2020,13 - 14,1343,231
7/1/2020,14 - 15,1650,227
7/1/2020,15 - 16,2080,238
7/1/2020,16 - 17,2484,290
7/1/2020,17 - 18,2936,380
7/1/2020,18 - 19,3271,464
7/1/2020,19 - 20,3465,544
7/1/2020,20 - 21,3540,649
7/1/2020,21 - 22,3611,742
7/1/2020,22 - 23,3661,816
7/1/2020,23 - 00,3716,875
8/1/2020,00 - 01,3773,922
8/1/2020,01 - 02,3735,916
8/1/2020,02 - 03,3753,922
8/1/2020,03 - 04,3722,912
8/1/2020,04 - 05,3688,903
8/1/2020,05 - 06,3709,906
8/1/2020,06 - 07,3652,904
8/1/2020,07 - 08,3577,894
8/1/2020,08 - 09,3363,858
8/1/2020,09 - 10,3138,810
