Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 10-01-2018,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
1/1/2016,00 - 01,"16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","16,39","28,11","28,11",
1/1/2016,01 - 02,"16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04","16,04",
1/1/2016,02 - 03,"15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74",
1/1/2016,03 - 04,"15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57",
1/1/2016,04 - 05,"15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47",
1/1/2016,05 - 06,"15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75",
1/1/2016,06 - 07,"15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36"
1/1/2016,07 - 08,"15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37","15,37"
1/1/2016,08 - 09,"15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","15,19","17,57","17,57","15,19"
1/1/2016,09 - 10,"15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","15,39","35,00","35,00","15,39"
