Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
1/1/2017,00 - 01,"25,70","24,03","24,03","24,03","24,03","24,03","20,96","20,96","28,40","28,40","28,40","24,03","24,03","24,03","24,03","24,03","24,03"
1/1/2017,01 - 02,"25,61","24,03","24,03","24,03","24,03","24,03","20,90","20,90","28,17","28,17","28,17","24,03","24,03","24,03","24,03","24,03","24,03"
1/1/2017,02 - 03,"25,49","24,02","24,02","24,02","24,02","24,02","18,13","18,13","28,03","28,03","28,03","24,02","24,02","24,02","24,02","24,02","24,02"
1/1/2017,03 - 04,"25,25","23,19","23,19","23,19","23,19","23,19","16,03","16,03","28,00","28,00","28,00","23,19","23,19","23,19","23,19","23,19","23,19"
1/1/2017,04 - 05,"25,63","24,10","24,10","24,10","24,10","24,10","16,43","16,43","28,02","28,02","28,02","24,10","24,10","24,10","24,10","24,10","24,10"
1/1/2017,05 - 06,"25,88","25,01","25,01","25,01","25,01","25,01","13,75","13,75","28,14","28,14","28,14","25,01","25,01","25,01","25,01","25,01","25,01"
1/1/2017,06 - 07,"26,58","25,62","25,62","25,62","25,62","25,62","11,10","11,10","28,31","28,31","28,31","25,62","25,62","25,62","25,62","25,62","25,62"
1/1/2017,07 - 08,"26,64","25,87","25,87","25,87","25,87","25,87","15,47","15,47","28,09","28,09","28,09","25,87","25,87","25,87","25,87","25,87","25,87"
1/1/2017,08 - 09,"26,70","26,18","26,18","26,18","26,18","26,18","16,88","16,88","27,73","27,73","27,73","26,18","26,18","26,18","26,18","26,18","26,18"
1/1/2017,09 - 10,"26,89","25,74","25,74","25,74","25,74","25,74","21,81","21,81","28,28","28,28","28,28","25,74","25,74","25,74","25,74","25,74","25,74"
1/1/2017,10 - 11,"27,80","26,89","26,89","26,89","26,89","26,89","26,24","26,24","28,36","28,36","28,36","26,89","26,89","26,89","26,89","26,89","26,89"
1/1/2017,11 - 12,"28,10","27,48","27,48","27,48","27,48","27,48","27,48","27,48","28,52","28,52","28,52","27,48","27,48","27,48","27,48","27,48","27,48"
1/1/2017,12 - 13,"28,36","28,04","28,04","28,04","28,04","28,04","28,04","28,04","28,51","28,51","28,51","28,04","28,04","28,04","28,04","28,04","28,04"
1/1/2017,13 - 14,"28,71","28,70","28,70","28,70","28,70","28,70","28,70","28,70","28,74","28,74","28,74","28,70","28,70","28,70","28,70","28,70","28,70"
1/1/2017,14 - 15,"29,65","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66","29,66"
1/1/2017,15 - 16,"30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38","30,38"
1/1/2017,16 - 17,"30,77","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,80","30,76","30,76","30,76","30,76","30,76","30,80","30,80","30,80"
1/1/2017,17 - 18,"30,92","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93","30,93"
1/1/2017,18 - 19,"30,77","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78","30,78"
1/1/2017,19 - 20,"30,50","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51","30,51"
1/1/2017,20 - 21,"30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19","30,19"
1/1/2017,21 - 22,"29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94"
1/1/2017,22 - 23,"29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65","29,65"
1/1/2017,23 - 00,"29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36","29,36"
2/1/2017,00 - 01,"29,42","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40","29,40"
2/1/2017,01 - 02,"28,95","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91","28,91"
