Regulating prices in EUR/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 11-01-2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
1/1/2016,00 - 01,"17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39","17,00","16,39"
1/1/2016,01 - 02,"17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04","17,00","16,04"
1/1/2016,02 - 03,"15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74","15,74"
1/1/2016,03 - 04,"15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57","15,57"
1/1/2016,04 - 05,"15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47","15,47"
1/1/2016,05 - 06,"15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75","15,75"
1/1/2016,06 - 07,"15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36","15,36"
1/1/2016,07 - 08,"15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01","15,37","13,01"
1/1/2016,08 - 09,"15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01","15,19","13,01"
1/1/2016,09 - 10,"15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01","15,39","13,01"
1/1/2016,10 - 11,"17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","17,40","15,00","15,78","15,00","17,40","15,00"
1/1/2016,11 - 12,"18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15","18,00","16,15"
1/1/2016,12 - 13,"20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50","20,00","16,50"
1/1/2016,13 - 14,"20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72","20,00","16,72"
1/1/2016,14 - 15,"20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17","20,00","17,17"
1/1/2016,15 - 16,"20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00","20,82","18,00"
