TIMESTAMP,POWER,U10,V10,U100,V100
20150101 00:00,NA,NA,NA,NA,NA
20150101 01:00,NA,6.24102,3.49613,9.73707,4.78492
20150101 02:00,NA,5.62234,4.06239,8.94497,5.71768
20150101 03:00,0.666692630970573,5.99531,4.89334,9.52143,6.99094
20150101 04:00,NA,6.90809,4.79099,10.6328,6.75417
20150101 05:00,NA,6.95268,4.83204,10.7008,6.74193
20150101 06:00,0.937500620490924,6.17865,5.70277,9.73491,8.09731
20150101 07:00,NA,7.63436,4.76415,11.7313,6.60519
20150101 08:00,NA,7.32686,5.98271,11.2884,8.46992
20150101 09:00,0.935002034911452,7.39201,5.6601,11.2158,8.10729
20150101 10:00,NA,7.81017,5.22474,11.809,7.32732
20150101 11:00,NA,7.69273,5.67689,11.6452,7.97653
20150101 12:00,0.912940313865813,7.83819,5.51678,12.5675,8.25853
20150101 13:00,NA,8.29697,5.84022,12.5376,8.24014
20150101 14:00,NA,7.75207,6.53309,11.8392,9.29081
20150101 15:00,0.971080096587489,7.37616,7.39868,11.3248,10.6524
20150101 16:00,NA,7.05879,7.92155,10.8749,11.3864
20150101 17:00,NA,8.02865,8.14977,12.2661,11.6433
20150101 18:00,0.912378609071353,7.91396,8.46456,12.1819,12.1725
20150101 19:00,NA,8.28694,8.68705,12.7362,12.4554
20150101 20:00,NA,8.06872,9.08891,12.5878,13.0598
20150101 21:00,0.99127822902086,8.79267,8.91367,13.5278,12.8895
20150101 22:00,NA,8.87254,9.14548,13.6472,13.1076
20150101 23:00,NA,9.78472,9.36127,14.9789,13.4863
20150102 00:00,0.995323100077957,10.4189,9.08522,15.9472,13.0802
20150102 01:00,NA,10.5927,9.05267,16.293,13.1
20150102 02:00,NA,11.4251,8.31978,17.5024,11.909
20150102 03:00,0.99311984569319,12.6611,6.91424,19.1923,9.78199
20150102 04:00,NA,13.1297,5.85409,19.7161,8.22377
20150102 05:00,NA,13.5447,2.98628,19.9631,4.1927
