TIMESTAMP,U10,V10,U100,V100
20180102 01:00,5.56298,1.67431,8.13755,1.71601
20180102 02:00,6.38854,1.00014,9.12813,0.914597
20180102 03:00,6.03089,-0.552382,8.50084,-1.22002
20180102 04:00,5.61746,-0.385702,8.01057,-1.09287
20180102 05:00,5.51651,-0.625758,7.74935,-1.43363
20180102 06:00,5.45801,0.117624,7.74186,-0.543104
20180102 07:00,5.7976,0.0689087,8.27906,-0.529922
20180102 08:00,5.45613,-1.05599,7.64316,-1.85242
20180102 09:00,5.1165,-1.13667,7.15429,-1.93797
20180102 10:00,5.02848,-0.439663,6.97953,-1.07818
20180102 11:00,4.72036,0.924224,6.60776,0.589315
20180102 12:00,4.99823,2.14119,7.18353,2.39243
20180102 13:00,5.68082,2.71216,8.09529,3.31935
20180102 14:00,4.1328,2.75751,6.23625,3.45724
20180102 15:00,4.06203,3.52604,6.31015,4.57808
20180102 16:00,4.51393,4.23456,6.91243,5.50395
20180102 17:00,5.16618,4.83064,7.55091,6.29515
20180102 18:00,4.63135,5.22602,6.82164,6.95179
20180102 19:00,4.25512,6.10739,6.28126,8.16506
20180102 20:00,4.1585,6.45381,6.09142,8.56589
20180102 21:00,3.42135,7.33592,5.05506,9.77816
20180102 22:00,0.227412,8.02754,0.74812,10.8159
20180102 23:00,-3.10084,9.32208,-3.7011,13.0036
20180103 00:00,-4.35046,10.3441,-5.40934,14.1512
20180103 01:00,-4.87563,12.7692,-6.29696,17.2724
20180103 02:00,-5.15309,11.9372,-6.47404,16.0997
20180103 03:00,-4.52876,11.5624,-5.68938,15.5747
20180103 04:00,-6.39442,10.5416,-8.12205,14.0074
20180103 05:00,-7.47374,8.08694,-10.6692,13.4198
20180103 06:00,-8.24274,10.2778,-10.2316,14.7554
20180103 07:00,-4.73056,9.96157,-6.27681,13.9461
20180103 08:00,-4.2901,6.16629,-4.42627,9.3245
20180103 09:00,4.78384,3.28467,7.95947,4.22866
20180103 10:00,5.89465,5.05864,8.54691,6.66337
20180103 11:00,4.10878,5.83254,6.06209,7.79468
20180103 12:00,2.05733,6.02402,3.38764,8.1103
20180103 13:00,1.6921,5.12295,2.89419,6.89195
20180103 14:00,1.4892,4.41097,2.57139,6.16681
20180103 15:00,1.53101,4.28555,2.81133,5.99782
20180103 16:00,0.189817,3.81271,1.52282,5.2121
20180103 17:00,-1.46024,3.79014,-0.1591,5.24744
20180103 18:00,-1.36519,2.84413,-0.170255,4.00131
20180103 19:00,-1.21785,1.13581,-0.138436,1.66662
20180103 20:00,-0.748523,-1.08451,0.640589,-1.0963
20180103 21:00,0.355385,-1.52146,2.11469,-2.34814
20180103 22:00,1.02627,-1.56325,2.72183,-2.45395
20180103 23:00,2.82731,-1.26036,4.18361,-2.21908
20180104 00:00,4.5555,-7.19833,5.73714,-9.23889
20180104 01:00,6.22139,-6.94938,8.09914,-9.33432
20180104 02:00,6.36929,-6.63737,8.36158,-9.0782
20180104 03:00,5.69541,-6.37168,7.48719,-8.74193
20180104 04:00,5.72606,-5.66222,7.36323,-7.44049
20180104 05:00,5.75378,-5.71219,7.39448,-7.48633
20180104 06:00,5.49073,-5.87655,6.99517,-7.68806
20180104 07:00,4.74585,-5.61338,6.19499,-7.43551
20180104 08:00,4.34356,-4.85559,5.74475,-6.59844
20180104 09:00,4.78239,-3.66559,6.18622,-4.87171
20180104 10:00,5.39925,-3.06441,6.81355,-3.95324
20180104 11:00,5.0412,-2.72202,6.36113,-3.57488
20180104 12:00,4.68092,-2.32469,5.98408,-3.08173
20180104 13:00,3.88546,-2.50322,4.9442,-3.22645
20180104 14:00,2.61496,-2.7775,3.54825,-3.81752
20180104 15:00,2.0947,-2.13114,2.8917,-2.99187
20180104 16:00,1.37023,-2.00474,1.84302,-2.64405
20180104 17:00,0.217122,-1.69506,0.739793,-2.29671
20180104 18:00,-1.37784,-0.842597,-0.890466,-1.64435
20180104 19:00,-1.86492,0.653963,-1.78688,-0.0900078
20180104 20:00,-1.79207,1.9258,-2.05018,2.02082
20180104 21:00,-2.25891,1.84019,-2.80196,2.6624
20180104 22:00,-2.92354,0.568411,-3.58111,1.91767
20180104 23:00,-3.10573,-1.14455,-4.21425,-0.0971642
20180105 00:00,-2.97788,-1.8178,-4.59505,-1.67711
20180105 01:00,-4.09857,-1.38,-6.34624,-1.30184
20180105 02:00,-3.79858,-2.059,-5.99204,-2.3016
20180105 03:00,-2.7928,-2.88695,-4.42882,-3.63968
20180105 04:00,-3.50386,-3.57786,-4.46003,-4.45225
20180105 05:00,-2.54559,-3.79335,-3.37066,-4.83336
20180105 06:00,-2.36082,-3.99337,-3.0456,-5.20818
20180105 07:00,-1.77448,-3.51945,-2.19065,-4.61148
20180105 08:00,-0.416141,-2.97664,-0.361766,-3.91239
20180105 09:00,0.455058,-1.77007,0.744105,-2.31509
20180105 10:00,1.03151,-1.3377,1.4476,-1.68339
20180105 11:00,1.28437,-1.04325,1.64362,-1.2903
20180105 12:00,1.08616,-0.681656,1.30511,-0.854492
20180105 13:00,1.38665,-0.414611,1.60301,-0.550459
20180105 14:00,1.78426,0.191697,2.17169,-0.00065136
20180105 15:00,1.91951,0.939368,2.36473,0.630608
20180105 16:00,1.92782,1.44759,2.46566,0.97609
20180105 17:00,1.63695,1.32041,2.22611,0.648655
20180105 18:00,2.07604,2.42943,2.99547,2.48871
20180105 19:00,2.09655,1.60165,3.12157,1.92027
20180105 20:00,1.57807,-0.341667,2.15488,-0.567814
20180105 21:00,0.457491,-0.154815,1.04929,-0.281966
20180105 22:00,-0.511195,0.234615,0.11898,0.414146
20180105 23:00,-0.79915,-0.661057,-0.0756788,-0.269088
20180106 00:00,-1.25332,-1.48473,-0.772028,-1.23553
20180106 01:00,-2.52233,-0.915869,-3.86342,-0.432549
20180106 02:00,-2.69399,-1.28105,-4.12231,-1.10845
20180106 03:00,-2.7344,-1.95964,-4.37974,-2.08254
20180106 04:00,-2.61205,-2.01525,-4.39034,-2.2965
20180106 05:00,-2.15779,-3.32738,-3.27156,-4.08189
20180106 06:00,-2.38085,-3.48251,-3.33035,-5.15977
20180106 07:00,-2.22682,-2.49166,-3.46134,-4.22361
20180106 08:00,-2.31316,-3.60614,-2.99233,-5.22557
20180106 09:00,-2.57676,-3.11972,-3.22101,-4.53289
20180106 10:00,-2.13865,-2.75177,-2.54248,-3.43677
20180106 11:00,-1.50086,-2.72904,-1.43451,-2.8903
20180106 12:00,-1.43903,-2.9418,-1.48181,-3.20841
20180106 13:00,-1.71599,-3.37137,-1.72032,-3.68085
20180106 14:00,-2.343,-3.52773,-2.71343,-4.2345
20180106 15:00,-2.8799,-3.034,-3.72758,-4.19484
20180106 16:00,-2.92353,-3.42306,-3.95468,-4.86687
20180106 17:00,-3.15286,-3.37487,-4.40935,-4.94571
20180106 18:00,-2.87884,-3.20389,-4.11216,-4.8488
20180106 19:00,-2.46963,-3.03613,-3.40727,-4.90964
20180106 20:00,-2.17674,-2.95011,-2.94374,-4.93562
20180106 21:00,-2.28154,-2.94484,-3.11107,-4.87243
20180106 22:00,-2.22368,-2.27977,-2.99755,-4.06423
20180106 23:00,-1.79761,-2.01171,-2.39263,-3.73763
20180107 00:00,-1.37606,-2.24587,-1.74531,-4.04047
20180107 01:00,-2.70738,-1.12374,-3.87322,-2.57498
20180107 02:00,-2.45412,-0.519438,-3.67156,-1.71055
20180107 03:00,-2.15849,-0.128307,-3.40656,-0.853992
20180107 04:00,-1.59445,-0.225966,-2.58588,-0.563981
20180107 05:00,-1.3156,-0.306009,-1.88397,-0.778839
20180107 06:00,-0.976637,0.192037,-1.25187,-0.3545
20180107 07:00,-0.749261,0.643372,-0.804081,0.00989723
20180107 08:00,-0.623564,2.3578,-0.570909,1.84896
20180107 09:00,0.165796,3.13058,0.353786,3.35179
20180107 10:00,1.10511,2.82886,1.49225,3.1589
20180107 11:00,1.79167,2.46744,2.24438,2.77283
20180107 12:00,2.45898,2.21775,2.96089,2.43817
20180107 13:00,2.90913,2.27718,3.59013,2.52447
20180107 14:00,3.09966,1.77995,3.98165,2.05362
20180107 15:00,2.98328,1.12126,3.986,1.05248
20180107 16:00,3.06676,-0.149717,4.00698,-0.729723
20180107 17:00,2.40774,0.0955601,3.12911,-1.0201
