iter	RMSE
0	0.3072823356
1	0.301240466
2	0.295346752
3	0.2895742559
4	0.2838888068
5	0.2785335537
6	0.2732302754
7	0.2681540393
8	0.2632717984
9	0.2586170557
10	0.2539676509
11	0.2495843314
12	0.2453999726
13	0.241329941
14	0.2373147737
15	0.2334662892
16	0.2297002533
17	0.2262102503
18	0.2226536006
19	0.219361349
20	0.2161489351
21	0.2130037301
22	0.2099982523
23	0.2070166967
24	0.2040602065
25	0.201338692
26	0.1988427331
27	0.1964464578
28	0.1941269769
29	0.191781935
30	0.1895570152
31	0.1873838131
32	0.1853358918
33	0.1833025685
34	0.1814051182
35	0.179414701
36	0.1777083933
37	0.1760320317
38	0.1743363237
39	0.1726986822
40	0.1712106891
41	0.1698520797
42	0.1685297748
43	0.1672613705
44	0.165790834
45	0.1645010305
46	0.1633868759
47	0.1622842689
48	0.1610410684
49	0.1599533055
50	0.1588316531
51	0.1578391403
52	0.1568419472
53	0.1558523824
54	0.1548977767
55	0.1539521093
56	0.1531246717
57	0.1522819573
58	0.1515317882
59	0.1508154792
60	0.15011918
61	0.1494270863
62	0.1487989917
63	0.1480733036
64	0.1474618308
65	0.1468621444
66	0.1462521049
67	0.1456890356
68	0.1450688257
69	0.1446005856
70	0.144118993
71	0.1436678624
72	0.1432357316
73	0.1427466987
74	0.1422733035
75	0.1418394841
76	0.1414007306
77	0.1409505286
78	0.1405843194
79	0.1401774431
80	0.1397860812
81	0.1394807642
82	0.1391159176
83	0.1388264516
84	0.1385439836
85	0.1382558016
86	0.1379436823
87	0.1376625541
88	0.137358808
89	0.1371178272
90	0.1368856631
91	0.1366370882
92	0.136437415
93	0.136206285
94	0.1360124251
95	0.1357667934
96	0.1355552855
97	0.1353284616
98	0.1351241575
99	0.1349359567
100	0.1347723313
101	0.1346131077
102	0.1344381377
103	0.1342689072
104	0.1341187125
105	0.1339795316
106	0.1338061845
107	0.1336756507
108	0.1335405099
109	0.1334289722
110	0.133317106
111	0.1331851696
112	0.1330907431
113	0.1329906451
114	0.1328928409
115	0.1327898628
116	0.1326955213
117	0.1325820294
118	0.1324789791
119	0.1324062094
120	0.1323352405
121	0.132232755
122	0.1321288459
123	0.1320502873
124	0.131971069
125	0.1319051725
126	0.1318255112
127	0.131746218
128	0.1316708043
129	0.1316172407
130	0.131566209
131	0.1315066026
132	0.1314630692
133	0.1313984643
134	0.1313202488
135	0.1312503553
136	0.1311936167
137	0.1311405543
138	0.1310733212
139	0.1310078547
140	0.1309356545
141	0.130887619
142	0.1308438905
143	0.1307954056
144	0.130749214
145	0.130710816
146	0.1306753725
147	0.1306343201
148	0.1306076128
149	0.1305717135
150	0.1305323712
151	0.1305006539
152	0.1304595365
153	0.1304288403
154	0.1303852007
155	0.1303536738
156	0.130320359
157	0.1302768556
158	0.1302393258
159	0.1302023656
160	0.1301646489
161	0.1301298931
162	0.1301026793
163	0.1300704445
164	0.1300509528
165	0.1300230305
166	0.1300015391
167	0.1299664203
168	0.129936309
169	0.1299190643
170	0.1298984917
171	0.1298694952
172	0.1298406239
173	0.1298203389
174	0.1297969368
175	0.129779076
176	0.1297594362
177	0.1297405529
178	0.129712221
179	0.1296793137
180	0.1296580558
181	0.1296316135
182	0.1296159589
183	0.1295895831
184	0.1295687863
185	0.1295510705
186	0.1295242008
187	0.1295035573
188	0.1294867013
189	0.1294591416
190	0.1294431194
191	0.1294232619
192	0.1294037905
193	0.1293827465
194	0.129365895
195	0.129349921
196	0.1293224347
197	0.1293033839
198	0.1292862922
199	0.1292568014
200	0.1292322786
201	0.1292176378
202	0.1292052548
203	0.1291867143
204	0.1291736977
205	0.129156978
206	0.129145936
207	0.1291299029
208	0.1291151429
209	0.1290933552
210	0.1290764733
211	0.1290621142
212	0.1290490874
213	0.1290380966
214	0.1290213594
215	0.1290154886
216	0.1290012088
217	0.1289869918
218	0.1289736759
219	0.1289607451
220	0.1289497337
221	0.1289299055
222	0.1289140958
223	0.1288878356
224	0.1288721272
225	0.1288584309
226	0.1288501805
227	0.1288324896
228	0.1288121661
229	0.1288008877
230	0.1287828099
231	0.1287655269
232	0.1287582584
233	0.1287424441
234	0.1287334909
235	0.128720849
236	0.1287109419
237	0.1286979126
238	0.128681071
239	0.1286624
240	0.1286447514
241	0.1286332902
242	0.1286209389
243	0.1286056471
244	0.1285941104
245	0.1285821272
246	0.1285653632
247	0.1285585496
248	0.1285453918
249	0.1285324814
250	0.1285198769
251	0.1285073363
252	0.1284923859
253	0.1284774217
254	0.128461668
255	0.1284485623
256	0.1284419663
257	0.1284338233
258	0.1284200125
259	0.1284100629
260	0.1283946138
261	0.1283828209
262	0.1283749597
263	0.1283615827
264	0.12834961
265	0.1283417091
266	0.1283277542
267	0.1283156321
268	0.1282992211
269	0.1282835279
270	0.1282688299
271	0.1282584994
272	0.1282482196
273	0.1282318168
274	0.128218426
275	0.1282082958
276	0.1281955757
277	0.1281896166
278	0.1281753565
279	0.1281585533
280	0.128148108
281	0.1281339564
282	0.1281162268
283	0.1281069799
284	0.1280973319
285	0.1280867722
286	0.1280703334
287	0.1280583439
288	0.128044903
289	0.1280357057
290	0.1280286896
291	0.1280189428
292	0.1280024731
293	0.1279850779
294	0.1279696795
295	0.1279620978
296	0.1279473163
297	0.1279362011
298	0.1279285402
299	0.1279170404
300	0.1279049813
301	0.1278940423
302	0.1278806315
303	0.1278716733
304	0.1278576869
305	0.1278446429
306	0.1278375608
307	0.1278229988
308	0.1278089279
309	0.1278024481
310	0.1277788343
311	0.1277708848
312	0.1277584264
313	0.12774096
314	0.1277313649
315	0.1277181581
316	0.1277086185
317	0.1276942254
318	0.1276742012
319	0.1276647685
320	0.1276577709
321	0.1276396519
322	0.1276281055
323	0.127613389
324	0.1275991165
325	0.1275875095
326	0.127574843
327	0.1275587205
328	0.1275469501
329	0.1275332932
330	0.1275252845
331	0.1275095421
332	0.127498245
333	0.1274845994
334	0.127470748
335	0.1274582567
336	0.1274470009
337	0.1274298003
338	0.1274138309
339	0.1273931968
340	0.1273842679
341	0.1273712525
342	0.1273655177
343	0.1273518445
344	0.1273356419
345	0.1273215881
346	0.1273114227
347	0.1272882866
348	0.1272773776
349	0.1272640241
350	0.1272552309
351	0.1272413652
352	0.1272290098
353	0.1272200214
354	0.1271977506
355	0.1271815564
356	0.1271741652
357	0.1271598027
358	0.1271493778
359	0.1271323498
360	0.1271200929
361	0.1271034481
362	0.1270943299
363	0.1270773581
364	0.1270643447
365	0.1270529054
366	0.1270434827
367	0.1270264632
368	0.1270120769
369	0.1269974421
370	0.1269835625
371	0.1269645215
372	0.1269536269
373	0.1269360865
374	0.1269277085
375	0.1269188475
376	0.1269062767
377	0.1268988696
378	0.1268877635
379	0.126877211
380	0.1268648704
381	0.1268574311
382	0.126844971
383	0.1268272449
384	0.1268117207
385	0.1268010267
386	0.1267886425
387	0.1267668552
388	0.1267585931
389	0.1267397095
390	0.1267212541
391	0.1267102321
392	0.1266932675
393	0.1266795437
394	0.1266681736
395	0.12665417
396	0.1266405858
397	0.1266234784
398	0.1266069067
399	0.1265888219
400	0.1265770362
401	0.1265600142
402	0.1265517729
403	0.1265377378
404	0.1265247893
405	0.1265172455
406	0.1265001259
407	0.1264895505
408	0.1264801055
409	0.1264633512
410	0.1264456742
411	0.1264323507
412	0.1264242721
413	0.126417157
414	0.126406411
415	0.1263932349
416	0.126374439
417	0.1263537539
418	0.1263378073
419	0.1263295537
420	0.1263177529
421	0.1263022062
422	0.1262821984
423	0.1262696335
424	0.1262520338
425	0.1262332378
426	0.1262200054
427	0.126205056
428	0.1261965971
429	0.1261815276
430	0.1261699005
431	0.1261551231
432	0.1261470492
433	0.1261377644
434	0.126124254
435	0.1261105383
436	0.1261015703
437	0.1260892385
438	0.1260730275
439	0.1260624251
440	0.1260444271
441	0.1260339678
442	0.1260151946
443	0.1259989381
444	0.1259815185
445	0.1259661051
446	0.1259526738
447	0.125939414
448	0.1259235961
449	0.1259100621
450	0.1258940607
451	0.1258844412
452	0.1258713376
453	0.1258535306
454	0.1258395918
455	0.1258267821
456	0.1258149184
457	0.1257980581
458	0.1257883997
459	0.1257797699
460	0.1257694054
461	0.1257596733
462	0.1257458398
463	0.1257337222
464	0.1257177565
465	0.1257070557
466	0.1256922738
467	0.1256756172
468	0.1256634958
469	0.1256574054
470	0.1256485581
471	0.1256396161
472	0.1256263281
473	0.1256219384
474	0.1256115082
475	0.1255970286
476	0.1255843137
477	0.1255700613
478	0.1255571479
479	0.1255452842
480	0.1255325809
481	0.1255205544
482	0.1255045895
483	0.1254852208
484	0.1254720014
485	0.1254579245
486	0.125449845
487	0.1254383864
488	0.1254150836
489	0.125400828
490	0.1253932131
491	0.1253759926
492	0.1253677666
493	0.1253587789
494	0.1253424998
495	0.1253346146
496	0.1253263548
497	0.1253085831
498	0.1252933806
499	0.1252882637
500	0.1252813759
501	0.1252709069
502	0.125252798
503	0.1252401708
504	0.1252312943
505	0.1252166765
506	0.1251981428
507	0.12518336
508	0.1251767233
509	0.1251624322
510	0.1251507006
511	0.1251377609
512	0.1251208184
513	0.1251122597
514	0.1250970089
515	0.1250852318
516	0.1250733034
517	0.1250599809
518	0.1250524042
519	0.1250378194
520	0.1250261998
521	0.1250137124
522	0.1250048945
523	0.1249968941
524	0.1249753287
525	0.124964896
526	0.1249524347
527	0.1249381771
528	0.1249234822
529	0.1249153044
530	0.1249011823
531	0.1248879153
532	0.1248780654
533	0.1248648661
534	0.1248481837
535	0.1248390069
536	0.1248279667
537	0.1248146462
538	0.1248049697
539	0.1247862781
540	0.1247688355
541	0.1247559259
542	0.1247465768
543	0.1247328006
544	0.1247254113
545	0.1247112058
546	0.1247010755
547	0.1246943411
548	0.1246814024
549	0.1246683288
550	0.1246527966
551	0.1246431828
552	0.124636651
553	0.1246254113
554	0.1246100884
555	0.12460039
556	0.1245877496
557	0.1245771002
558	0.1245663785
559	0.124561485
560	0.1245495907
561	0.1245419378
562	0.1245299002
563	0.1245096773
564	0.124502547
565	0.1244936364
566	0.1244771303
567	0.1244680442
568	0.1244523088
569	0.1244370978
570	0.1244303651
571	0.1244189266
572	0.1244074089
573	0.1243974381
574	0.1243861012
575	0.1243779933
576	0.1243625054
577	0.1243512119
578	0.1243392526
579	0.124329253
580	0.124319538
581	0.1243048638
582	0.1242940327
583	0.1242805812
584	0.1242662096
585	0.1242550348
586	0.1242445268
587	0.1242311212
588	0.1242199375
589	0.124208336
590	0.1241977153
591	0.1241864761
592	0.1241797067
593	0.1241675674
594	0.1241543327
595	0.124142484
596	0.1241339029
597	0.1241215297
598	0.1241119659
599	0.1241070089
600	0.1241009458
601	0.124088136
602	0.1240791814
603	0.1240643128
604	0.1240564449
605	0.1240396785
606	0.1240290605
607	0.1240129001
608	0.1240053447
609	0.1239985541
610	0.1239944157
611	0.1239840249
612	0.1239711014
613	0.1239639131
614	0.1239504128
615	0.1239400653
616	0.1239261605
617	0.1239102019
618	0.1239045438
619	0.123895874
620	0.1238870632
621	0.1238783035
622	0.1238656549
623	0.1238546459
624	0.1238463052
625	0.1238346621
626	0.1238243382
627	0.1238172022
628	0.1238040704
629	0.1237894273
630	0.1237789731
631	0.1237683462
632	0.1237607591
633	0.1237455434
634	0.1237334546
635	0.1237250285
636	0.1237163138
637	0.1237058747
638	0.1236913414
639	0.1236814728
640	0.1236713797
641	0.1236600321
642	0.1236416743
643	0.1236323153
644	0.1236246965
645	0.1236178284
646	0.1236042262
647	0.1235962893
648	0.1235882857
649	0.1235748244
650	0.1235658679
651	0.1235577146
